Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
monday,18-30,male,Higher Education,employee,New Driver,Private Vehicle,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Negligence,slight injury
monday,31-50,male,Basic Education,employee,Veteran,Public Transport,owner,5-10yrs,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Speed Violation,slight injury
monday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Leisure/Public Space,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,severe injury
sunday,18-30,male,Basic Education,employee,Experienced,Public Transport,governmental,unknown,no defect,Commercial/Workplace,other,Straight Road,y shape,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,other,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Speed Violation,slight injury
friday,31-50,male,Basic Education,unknown,Experienced,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Turning,3,Not Involved,Vehicle Mismanagement,slight injury
wednesday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Reversing,3,Not Involved,Other,slight injury
friday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,governmental,above 10yr,no defect,Urban/Residential,other,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Turning,na,Not Involved,Priority Violation,slight injury
friday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,1-2yr,no defect,Commercial/Workplace,other,Straight Road,y shape,earth roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Crossing,Lane Violation,slight injury
friday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Turning,3,Not Involved,Negligence,severe injury
